"X","listing_id","host_id","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","capped_price","capped_minimum_nights","afinnsentiment","bingsentiment","nrcsentiment","ave_sentiment"
13925,33225506,64787480,"Waterfront Communities-The Island",43.65138,-79.36007,"Private room",59,1,4,"2019-09-01",0.33,2,59,1,10,5,6,0.243602181751528
13926,33226159,156950959,"High Park North",43.65935,-79.45998,"Private room",59,3,20,"2020-03-07",1.61,3,59,3,149,71,57,0.402661926463912
13927,33226535,64787480,"Waterfront Communities-The Island",43.65025,-79.35933,"Private room",45,3,11,"2019-08-31",0.9,2,45,3,51,22,26,0.423569220239847
13928,33229032,233531084,"Pleasant View",43.78777,-79.34161,"Private room",47,1,1,"2019-05-26",0.09,3,47,1,19,8,10,0.67543383301935
13929,33239735,131166520,"Trinity-Bellwoods",43.65102,-79.41539,"Entire home/apt",115,2,41,"2020-03-15",3.69,1,115,2,301,166,114,0.427667507152577
13930,33243521,202727601,"Annex",43.66911,-79.39342,"Entire home/apt",90,10,3,"2019-09-18",0.23,18,90,10,25,6,7,0.248111285404849
13932,33249351,218248293,"Trinity-Bellwoods",43.64851,-79.42349,"Entire home/apt",140,2,23,"2019-09-21",1.97,2,140,2,124,59,58,0.304696707196891
13933,33251171,4124418,"Waterfront Communities-The Island",43.64241,-79.3827,"Entire home/apt",300,3,1,"2019-06-02",0.09,10,350,3,0,0,0,0.5
13934,33251269,184724401,"Waterfront Communities-The Island",43.64371,-79.37949,"Entire home/apt",112,1,42,"2020-03-25",3.08,19,112,1,118,60,66,0.169721237363128
13935,33252397,250388156,"South Riverdale",43.66383,-79.32815,"Entire home/apt",174,1,130,"2020-03-27",9.65,1,174,1,690,411,284,0.418203951945219
13936,33252877,249962894,"Kensington-Chinatown",43.65133,-79.39894,"Entire home/apt",149,1,21,"2020-04-17",1.68,6,149,1,56,27,23,0.321788459835555
13937,33253167,82791,"Islington-City Centre West",43.64177,-79.52895,"Entire home/apt",110,30,7,"2020-03-14",0.57,3,110,30,58,32,28,0.306935417236266
13938,33254028,87602959,"Bay Street Corridor",43.65103,-79.38184,"Entire home/apt",89,1,66,"2020-04-14",4.86,5,89,1,237,121,88,0.472072445975629
13939,33254417,224069901,"Willowdale West",43.77343,-79.41412,"Entire home/apt",87,1,19,"2019-12-03",1.43,6,87,1,84,44,37,0.486001905912269
13940,33254611,1157730,"Oakwood Village",43.68734,-79.43233,"Entire home/apt",111,1,13,"2020-02-16",1.36,2,111,1,54,31,26,0.463816247994835
13942,33265096,250487508,"Rexdale-Kipling",43.71572,-79.5637,"Entire home/apt",180,1,2,"2019-05-26",0.16,8,180,1,4,-1,7,0.0220231948033213
13944,33266351,250487508,"Rexdale-Kipling",43.71693,-79.5643,"Private room",61,1,2,"2019-04-18",0.15,8,61,1,0,0,0,0.551776695296637
13945,33266533,250487508,"Rexdale-Kipling",43.71741,-79.56346,"Private room",61,1,6,"2019-05-09",0.44,8,61,1,25,11,9,0.429061614668079
13946,33267001,139125842,"Waterfront Communities-The Island",43.64252,-79.38257,"Entire home/apt",181,2,57,"2020-03-16",4.31,1,181,2,264,129,114,0.441267681976169
13947,33267228,10960978,"Niagara",43.64315,-79.40245,"Entire home/apt",150,2,22,"2020-03-01",1.72,1,150,2,135,63,42,0.461251674715672
13948,33267473,250505580,"Dovercourt-Wallace Emerson-Junction",43.6641,-79.45277,"Entire home/apt",79,5,3,"2019-11-15",0.28,1,79,5,18,13,2,0.470629099210151
13949,33270051,105528817,"North Riverdale",43.66994,-79.34589,"Entire home/apt",89,2,7,"2019-10-14",0.55,5,89,2,19,9,9,0.415340660274254
13950,33270480,250535526,"Bay Street Corridor",43.65077,-79.387,"Private room",299,2,10,"2019-08-20",0.78,2,350,2,15,12,9,0.165614575370721
13951,33270592,66655429,"Waterfront Communities-The Island",43.64286,-79.38274,"Entire home/apt",560,28,59,"2020-03-08",4.45,9,350,28,263,106,86,0.421829057329656
13952,33271429,15368293,"Mount Pleasant West",43.70624,-79.39655,"Entire home/apt",200,30,17,"2020-03-02",1.28,1,200,30,87,36,62,0.28422996081696
13953,33272324,18942204,"Annex",43.67059,-79.40472,"Entire home/apt",80,14,105,"2020-03-31",7.8,10,80,14,406,203,183,0.362324796156546
13954,33272674,69702554,"Runnymede-Bloor West Village",43.65157,-79.48454,"Entire home/apt",299,5,3,"2019-08-23",0.32,1,350,5,36,18,13,0.486970909888017
13956,33275021,230326525,"L'Amoreaux",43.80499,-79.31525,"Private room",25,1,6,"2020-03-25",0.57,6,25,1,-1,-10,-2,0.0819976808843959
13957,33285128,129936208,"High Park North",43.65847,-79.45343,"Entire home/apt",98,3,36,"2020-03-05",3.34,1,98,3,254,149,122,0.432684347042548
13958,33285762,284529,"Annex",43.67027,-79.40283,"Private room",65,3,2,"2019-05-31",0.16,2,65,3,7,3,7,0.345390285695592
13959,33286576,19207973,"Cabbagetown-South St.James Town",43.66642,-79.37716,"Entire home/apt",214,29,67,"2020-03-13",5.05,3,214,29,304,163,167,0.40486906907261
13960,33290840,249962894,"Kensington-Chinatown",43.64942,-79.39662,"Entire home/apt",149,1,35,"2020-02-28",2.77,6,149,1,133,64,46,0.39017464688126
13961,33291105,249962894,"Kensington-Chinatown",43.65051,-79.39722,"Entire home/apt",149,1,45,"2020-04-20",3.61,6,149,1,167,87,60,0.396284700614283
13963,33293227,127503483,"Parkwoods-Donalda",43.76655,-79.33222,"Entire home/apt",39,1,57,"2020-03-10",4.34,2,39,1,202,121,88,0.544419916937789
13964,33293296,249962894,"Kensington-Chinatown",43.65064,-79.39684,"Entire home/apt",172,1,46,"2020-03-18",3.74,6,172,1,125,67,46,0.256241673539473
13965,33293555,249962894,"Kensington-Chinatown",43.65127,-79.39708,"Entire home/apt",172,1,14,"2020-02-09",1.2,6,172,1,19,6,0,0.35030650835727
13966,33293940,173203015,"Willowdale West",43.77263,-79.41629,"Entire home/apt",89,20,3,"2019-04-06",0.22,2,89,20,21,12,15,0.363486367461597
13967,33294171,249962894,"Kensington-Chinatown",43.64969,-79.39833,"Entire home/apt",224,1,19,"2020-03-04",1.61,6,224,1,52,32,32,0.214496886960807
13968,33296678,249871837,"Bathurst Manor",43.75825,-79.44712,"Entire home/apt",110,3,5,"2019-10-27",0.47,5,110,3,12,9,8,0.295759100291278
13969,33296977,28747663,"Waterfront Communities-The Island",43.64286,-79.38073,"Entire home/apt",247,6,79,"2020-03-14",6.05,2,247,6,573,293,280,0.396257703205794
