id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36916201,Elegant & Spacious Studio in Downtown Toronto,273658759,Bas,,Church-Yonge Corridor,43.66163,-79.37932,Entire home/apt,200,1,19,2020-03-28,2.15,3,156
36917582,"✨Private Room(C) in Shared House, Subway, Parking✨",11418370,Claude,,Willowdale West,43.77565,-79.42038,Private room,30,28,4,2020-03-31,0.48,8,341
36919569,"BLUE Quiet, Private Room In The Heart Of NorthYork",132567337,Ly,,Willowdale East,43.77212,-79.40109,Private room,100,1,40,2020-04-10,4.17,1,365
36920693,"Cozy, Private Basement in the Heart of North York",277511007,Jesse,,Willowdale East,43.77045,-79.40231,Entire home/apt,100,1,74,2020-04-24,7.74,1,363
36935417,Near York U Private Two Bed Rm I close to Subway,96693289,Crystal,,Black Creek,43.7715,-79.52237,Private room,69,6,0,,,10,364
36937008,Private Room/Private washroom/TTC SUBWAY,213813692,Saef,,Willowdale East,43.77359,-79.39479,Private room,75,7,0,,,3,362
36937457,CHARMING PRIVATE ROOM CLOSE ALL AMENTIES,259028562,Nhi,,Downsview-Roding-CFB,43.73323,-79.48829,Private room,39,7,3,2019-11-29,0.35,3,90
36939313,Large bright room  *updated with full size bed*,143798567,Oliver,,Little Portugal,43.65036,-79.43114,Private room,51,1,5,2019-09-21,0.52,1,0
36940878,"New townhouse, near airport, 5%off > 7 days",256546319,Kimi,,Princess-Rosethorn,43.67593,-79.55628,Private room,90,2,22,2020-03-08,2.31,1,76
36941421,Cozy One Bedroom Apartment,225219584,Nellie,,Little Portugal,43.64485,-79.42934,Entire home/apt,90,1,6,2019-08-18,0.63,1,0
36941872,Three Bedroom Guest Suite,277692187,Jack,,Maple Leaf,43.7149,-79.48838,Entire home/apt,200,2,21,2020-01-01,2.27,4,106
36941933,Very modern big apt newly renovated,277694525,Marijana,,O'Connor-Parkview,43.70046,-79.29702,Private room,90,1,5,2019-10-05,0.54,2,127
36942926,Modern newly renovated room,277694525,Marijana,,O'Connor-Parkview,43.69902,-79.29792,Private room,55,1,7,2019-10-27,0.83,2,126
36943118,Cozy private suite near Pearson Intl Airport YYZ,90332449,Aroshi,,Princess-Rosethorn,43.66578,-79.55813,Entire home/apt,80,2,27,2020-01-19,3.42,1,6
36943982,Yonge/Bloor Cosy Bachelor Apartment,41953176,David,,Church-Yonge Corridor,43.66852,-79.38308,Entire home/apt,120,3,6,2019-12-28,1.01,1,0
36944657,"Modern, Holistic, Healthy Home In Nature <3",154800542,Duane,,Willowdale West,43.76967,-79.43468,Entire home/apt,97,4,1,2019-08-03,0.11,1,0
36945608,Minimal studio: Ossington,243143773,Ashlee,,Trinity-Bellwoods,43.65399,-79.42124,Entire home/apt,84,4,3,2020-01-02,0.32,1,311
36947373,Urban Oasis in the Heart of Downtown FREE parking,63679149,Dina,,Waterfront Communities-The Island,43.64288,-79.38062,Entire home/apt,98,2,7,2020-02-03,0.77,2,54
36948174,"Huge Private room with French window,fireplace",62443792,Ashraf,,Parkwoods-Donalda,43.75979,-79.31856,Shared room,28,1,9,2020-02-05,0.98,3,95
36949904,40th+ floor perfect view of CN Tower and the Lake,277765690,Yimin,,Waterfront Communities-The Island,43.64258,-79.38323,Entire home/apt,250,3,73,2020-03-29,7.55,1,155
36958662,"Bungalow 3 bedrooms,mainfloor, walk to subway,",257313261,Alex,,Englemount-Lawrence,43.72639,-79.43497,Entire home/apt,129,28,1,2019-10-01,0.14,1,363
36960807,Downtown Luxury in the Sky | Union Station | PATH,37514178,TO Stays,,Waterfront Communities-The Island,43.64232,-79.38259,Entire home/apt,145,30,1,2019-08-31,0.12,14,364
36961408,"Spacious Executive Suite located Downtown, Toronto",276411596,Paul,,Waterfront Communities-The Island,43.6435,-79.40167,Entire home/apt,150,3,19,2020-03-17,2.38,2,87
36963810,**Spring Deal** - Modern & Eclectic Studio,6803755,Alex & Milica,,Oakwood Village,43.69258,-79.44859,Entire home/apt,90,2,10,2020-03-31,1.05,1,179
